token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,symbol_clean
1011,SCHAEFFLER-EQ,SCHAEFFLER,,-1.000000,1,,NSE,10.000000,SCHAEFFLER
10099,GODREJCP-EQ,GODREJCP,,-1.000000,1,,NSE,10.000000,GODREJCP
10227,MANORAMA-EQ,MANORAMA,,-1.000000,1,,NSE,10.000000,MANORAMA
10300,RAMASTEEL-EQ,RAMASTEEL,,-1.000000,1,,NSE,1.000000,RAMASTEEL
10343,RADHIKAJWE-EQ,RADHIKAJWE,,-1.000000,1,,NSE,1.000000,RADHIKAJWE
1053,UFLEX-EQ,UFLEX,,-1.000000,1,,NSE,5.000000,UFLEX
10578,MPSLTD-EQ,MPSLTD,,-1.000000,1,,NSE,10.000000,MPSLTD
10733,SPORTKING-EQ,SPORTKING,,-1.000000,1,,NSE,1.000000,SPORTKING
10859,DREAMFOLKS-EQ,DREAMFOLKS,,-1.000000,1,,NSE,5.000000,DREAMFOLKS
11149,SHRENIK-EQ,SHRENIK,,-1.000000,1,,NSE,1.000000,SHRENIK
11212,SHK-EQ,SHK,,-1.000000,1,,NSE,1.000000,SHK
11241,HDFCGROWTH-EQ,HDFCGROWTH,,-1.000000,1,,NSE,1.000000,HDFCGROWTH
11256,JAIBALAJI-EQ,JAIBALAJI,,-1.000000,1,,NSE,1.000000,JAIBALAJI
1139,GICHSGFIN-EQ,GICHSGFIN,,-1.000000,1,,NSE,1.000000,GICHSGFIN
11293,UNIENTER-EQ,UNIENTER,,-1.000000,1,,NSE,1.000000,UNIENTER
11325,MUKANDLTD-EQ,MUKANDLTD,,-1.000000,1,,NSE,1.000000,MUKANDLTD
11374,TIPSFILMS-EQ,TIPSFILMS,,-1.000000,1,,NSE,5.000000,TIPSFILMS
11407,XPROINDIA-EQ,XPROINDIA,,-1.000000,1,,NSE,10.000000,XPROINDIA
11411,RKFORGE-EQ,RKFORGE,,-1.000000,1,,NSE,5.000000,RKFORGE
11423,DATAMATICS-EQ,DATAMATICS,,-1.000000,1,,NSE,5.000000,DATAMATICS
11655,JBMA-EQ,JBMA,,-1.000000,1,,NSE,5.000000,JBMA
11813,SHOPERSTOP-EQ,SHOPERSTOP,,-1.000000,1,,NSE,5.000000,SHOPERSTOP
11884,MANINDS-EQ,MANINDS,,-1.000000,1,,NSE,5.000000,MANINDS
11915,YESBANK-EQ,YESBANK,,-1.000000,1,,NSE,1.000000,YESBANK
11975,RML-EQ,RML,,-1.000000,1,,NSE,5.000000,RML
12108,HDFCPVTBAN-EQ,HDFCPVTBAN,,-1.000000,1,,NSE,1.000000,HDFCPVTBAN
12124,DOLATALGO-EQ,DOLATALGO,,-1.000000,1,,NSE,1.000000,DOLATALGO
1008,FACT-EQ,FACT,,-1.000000,1,,NSE,5.000000,FACT
10217,ADANIENSOL-EQ,ADANIENSOL,,-1.000000,1,,NSE,5.000000,ADANIENSOL
10440,LUPIN-EQ,LUPIN,,-1.000000,1,,NSE,10.000000,LUPIN
10447,UNITDSPR-EQ,UNITDSPR,,-1.000000,1,,NSE,10.000000,UNITDSPR
10512,CONS-EQ,CONS,,-1.000000,1,,NSE,1.000000,CONS
10768,OAL-EQ,OAL,,-1.000000,1,,NSE,5.000000,OAL
10793,SYRMA-EQ,SYRMA,,-1.000000,1,,NSE,5.000000,SYRMA
10830,MOQLTYINAV-EQ,MOQLTYINAV,,-1.000000,1,,NSE,1.000000,MOQLTYINAV
10939,JUNIORBEES-EQ,JUNIORBEES,,-1.000000,1,,NSE,1.000000,JUNIORBEES
10990,RADICO-EQ,RADICO,,-1.000000,1,,NSE,10.000000,RADICO
11060,KSOLVES-EQ,KSOLVES,,-1.000000,1,,NSE,5.000000,KSOLVES
1110,DANGEE-EQ,DANGEE,,-1.000000,1,,NSE,1.000000,DANGEE
11184,IDFCFIRSTB-EQ,IDFCFIRSTB,,-1.000000,1,,NSE,1.000000,IDFCFIRSTB
1127,GHCL-EQ,GHCL,,-1.000000,1,,NSE,5.000000,GHCL
11253,WELSPUNLIV-EQ,WELSPUNLIV,,-1.000000,1,,NSE,1.000000,WELSPUNLIV
11309,BALAXI-EQ,BALAXI,,-1.000000,1,,NSE,1.000000,BALAXI
11355,PTC-EQ,PTC,,-1.000000,1,,NSE,1.000000,PTC
11373,BIOCON-EQ,BIOCON,,-1.000000,1,,NSE,5.000000,BIOCON
11399,SALZERELEC-EQ,SALZERELEC,,-1.000000,1,,NSE,5.000000,SALZERELEC
11457,NV20-EQ,NV20,,-1.000000,1,,NSE,1.000000,NV20
11480,KRIDHANINF-EQ,KRIDHANINF,,-1.000000,1,,NSE,1.000000,KRIDHANINF
11491,APARINDS-EQ,APARINDS,,-1.000000,1,,NSE,50.000000,APARINDS
11536,TCS-EQ,TCS,,-1.000000,1,,NSE,10.000000,TCS
11538,HDFCMOMENT-EQ,HDFCMOMENT,,-1.000000,1,,NSE,1.000000,HDFCMOMENT
11630,NTPC-EQ,NTPC,,-1.000000,1,,NSE,5.000000,NTPC
1174,GNFC-EQ,GNFC,,-1.000000,1,,NSE,5.000000,GNFC
11723,JSWSTEEL-EQ,JSWSTEEL,,-1.000000,1,,NSE,5.000000,JSWSTEEL
1186,GLAND-EQ,GLAND,,-1.000000,1,,NSE,10.000000,GLAND
11852,SURYALAXMI-EQ,SURYALAXMI,,-1.000000,1,,NSE,1.000000,SURYALAXMI
11895,DCXINDIA-EQ,DCXINDIA,,-1.000000,1,,NSE,5.000000,DCXINDIA
11956,MEDANTA-EQ,MEDANTA,,-1.000000,1,,NSE,10.000000,MEDANTA
12000,FAZE3Q-EQ,FAZE3Q,,-1.000000,1,,NSE,5.000000,FAZE3Q
12026,RENUKA-EQ,RENUKA,,-1.000000,1,,NSE,1.000000,RENUKA
12034,BASML-EQ,BASML,,-1.000000,1,,NSE,1.000000,BASML
10310,AURUM-EQ,AURUM,,-1.000000,1,,NSE,1.000000,AURUM
10350,CSLFINANCE-EQ,CSLFINANCE,,-1.000000,1,,NSE,5.000000,CSLFINANCE
10453,SATIN-EQ,SATIN,,-1.000000,1,,NSE,1.000000,SATIN
10473,POWERMECH-EQ,POWERMECH,,-1.000000,1,,NSE,10.000000,POWERMECH
10568,RAMAPHO-EQ,RAMAPHO,,-1.000000,1,,NSE,1.000000,RAMAPHO
10577,KRBL-EQ,KRBL,,-1.000000,1,,NSE,5.000000,KRBL
10633,HDFCNIF100-EQ,HDFCNIF100,,-1.000000,1,,NSE,1.000000,HDFCNIF100
10661,PONNIERODE-EQ,PONNIERODE,,-1.000000,1,,NSE,5.000000,PONNIERODE
10700,SURANAT&P-EQ,SURANAT&P,,-1.000000,1,,NSE,1.000000,SURANAT&P
10723,INFRAIETF-EQ,INFRAIETF,,-1.000000,1,,NSE,1.000000,INFRAIETF
10761,SILVERADD-EQ,SILVERADD,,-1.000000,1,,NSE,1.000000,SILVERADD
10905,GENESYS-EQ,GENESYS,,-1.000000,1,,NSE,5.000000,GENESYS
1100,GARFIBRES-EQ,GARFIBRES,,-1.000000,1,,NSE,5.000000,GARFIBRES
11226,BAGFILMS-EQ,BAGFILMS,,-1.000000,1,,NSE,1.000000,BAGFILMS
11319,LICNETFN50-EQ,LICNETFN50,,-1.000000,1,,NSE,1.000000,LICNETFN50
1134,APOLLO-EQ,APOLLO,,-1.000000,1,,NSE,1.000000,APOLLO
11351,PETRONET-EQ,PETRONET,,-1.000000,1,,NSE,5.000000,PETRONET
11377,MAHABANK-EQ,MAHABANK,,-1.000000,1,,NSE,1.000000,MAHABANK
11445,PILANIINVS-EQ,PILANIINVS,,-1.000000,1,,NSE,10.000000,PILANIINVS
11591,HDFCNIFTY-EQ,HDFCNIFTY,,-1.000000,1,,NSE,1.000000,HDFCNIFTY
11626,WELENT-EQ,WELENT,,-1.000000,1,,NSE,5.000000,WELENT
11731,CONSOFINVT-EQ,CONSOFINVT,,-1.000000,1,,NSE,1.000000,CONSOFINVT
1181,GODFRYPHLP-EQ,GODFRYPHLP,,-1.000000,1,,NSE,50.000000,GODFRYPHLP
11804,SUKHJITS-EQ,SUKHJITS,,-1.000000,1,,NSE,1.000000,SUKHJITS
11842,CYBERMEDIA-EQ,CYBERMEDIA,,-1.000000,1,,NSE,1.000000,CYBERMEDIA
1190,FMGOETZE-EQ,FMGOETZE,,-1.000000,1,,NSE,5.000000,FMGOETZE
11856,SHAHALLOYS-EQ,SHAHALLOYS,,-1.000000,1,,NSE,1.000000,SHAHALLOYS
11864,PRIMESECU-EQ,PRIMESECU,,-1.000000,1,,NSE,1.000000,PRIMESECU
11961,SEMAC-EQ,SEMAC,,-1.000000,1,,NSE,5.000000,SEMAC
11987,ICIL-EQ,ICIL,,-1.000000,1,,NSE,5.000000,ICIL
12072,SCPL-EQ,SCPL,,-1.000000,1,,NSE,5.000000,SCPL
12101,HDFCNIFIT-EQ,HDFCNIFIT,,-1.000000,1,,NSE,1.000000,HDFCNIFIT
10,ABAN-EQ,ABAN,,-1.000000,1,,NSE,1.000000,ABAN
10580,TCI-EQ,TCI,,-1.000000,1,,NSE,10.000000,TCI
10590,LOYALTEX-EQ,LOYALTEX,,-1.000000,1,,NSE,5.000000,LOYALTEX
10619,HDFCNEXT50-EQ,HDFCNEXT50,,-1.000000,1,,NSE,1.000000,HDFCNEXT50
10690,NIFTYQLITY-EQ,NIFTYQLITY,,-1.000000,1,,NSE,1.000000,NIFTYQLITY
10865,GVPTECH-EQ,GVPTECH,,-1.000000,1,,NSE,1.000000,GVPTECH
10932,RADAAN-EQ,RADAAN,,-1.000000,1,,NSE,1.000000,RADAAN
11027,INFOBEAN-EQ,INFOBEAN,,-1.000000,1,,NSE,5.000000,INFOBEAN
11037,BANKIETF-EQ,BANKIETF,,-1.000000,1,,NSE,1.000000,BANKIETF
11162,HARSHA-EQ,HARSHA,,-1.000000,1,,NSE,5.000000,HARSHA
11193,AXISILVER-EQ,AXISILVER,,-1.000000,1,,NSE,1.000000,AXISILVER
11239,NSIL-EQ,NSIL,,-1.000000,1,,NSE,50.000000,NSIL
11271,DREDGECORP-EQ,DREDGECORP,,-1.000000,1,,NSE,5.000000,DREDGECORP
11364,VAIBHAVGBL-EQ,VAIBHAVGBL,,-1.000000,1,,NSE,5.000000,VAIBHAVGBL
11369,TTKHLTCARE-EQ,TTKHLTCARE,,-1.000000,1,,NSE,10.000000,TTKHLTCARE
11530,EMIL-EQ,EMIL,,-1.000000,1,,NSE,1.000000,EMIL
11547,HDFCLOWVOL-EQ,HDFCLOWVOL,,-1.000000,1,,NSE,1.000000,HDFCLOWVOL
11566,DCI-EQ,DCI,,-1.000000,1,,NSE,5.000000,DCI
11580,WESTLIFE-EQ,WESTLIFE,,-1.000000,1,,NSE,5.000000,WESTLIFE
11634,SALSTEEL-EQ,SALSTEEL,,-1.000000,1,,NSE,1.000000,SALSTEEL
11821,WELCORP-EQ,WELCORP,,-1.000000,1,,NSE,5.000000,WELCORP
