token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,symbol_clean
1011,SCHAEFFLER-EQ,SCHAEFFLER,,-1,1,,NSE,10,SCHAEFFLER
10099,GODREJCP-EQ,GODREJCP,,-1,1,,NSE,10,GODREJCP
10227,MANORAMA-EQ,MANORAMA,,-1,1,,NSE,10,MANORAMA
10300,RAMASTEEL-EQ,RAMASTEEL,,-1,1,,NSE,1,RAMASTEEL
10343,RADHIKAJWE-EQ,RADHIKAJWE,,-1,1,,NSE,1,RADHIKAJWE
1053,UFLEX-EQ,UFLEX,,-1,1,,NSE,5,UFLEX
10578,MPSLTD-EQ,MPSLTD,,-1,1,,NSE,10,MPSLTD
10733,SPORTKING-EQ,SPORTKING,,-1,1,,NSE,1,SPORTKING
10859,DREAMFOLKS-EQ,DREAMFOLKS,,-1,1,,NSE,5,DREAMFOLKS
11149,SHRENIK-EQ,SHRENIK,,-1,1,,NSE,1,SHRENIK
11212,SHK-EQ,SHK,,-1,1,,NSE,1,SHK
11241,HDFCGROWTH-EQ,HDFCGROWTH,,-1,1,,NSE,1,HDFCGROWTH
11256,JAIBALAJI-EQ,JAIBALAJI,,-1,1,,NSE,1,JAIBALAJI
1139,GICHSGFIN-EQ,GICHSGFIN,,-1,1,,NSE,1,GICHSGFIN
11293,UNIENTER-EQ,UNIENTER,,-1,1,,NSE,1,UNIENTER
11325,MUKANDLTD-EQ,MUKANDLTD,,-1,1,,NSE,1,MUKANDLTD
11374,TIPSFILMS-EQ,TIPSFILMS,,-1,1,,NSE,5,TIPSFILMS
11407,XPROINDIA-EQ,XPROINDIA,,-1,1,,NSE,10,XPROINDIA
11411,RKFORGE-EQ,RKFORGE,,-1,1,,NSE,5,RKFORGE
11423,DATAMATICS-EQ,DATAMATICS,,-1,1,,NSE,5,DATAMATICS
11655,JBMA-EQ,JBMA,,-1,1,,NSE,5,JBMA
11813,SHOPERSTOP-EQ,SHOPERSTOP,,-1,1,,NSE,5,SHOPERSTOP
11884,MANINDS-EQ,MANINDS,,-1,1,,NSE,5,MANINDS
11915,YESBANK-EQ,YESBANK,,-1,1,,NSE,1,YESBANK
11975,RML-EQ,RML,,-1,1,,NSE,5,RML
12108,HDFCPVTBAN-EQ,HDFCPVTBAN,,-1,1,,NSE,1,HDFCPVTBAN
12124,DOLATALGO-EQ,DOLATALGO,,-1,1,,NSE,1,DOLATALGO
1008,FACT-EQ,FACT,,-1,1,,NSE,5,FACT
10217,ADANIENSOL-EQ,ADANIENSOL,,-1,1,,NSE,5,ADANIENSOL
10440,LUPIN-EQ,LUPIN,,-1,1,,NSE,10,LUPIN
10447,UNITDSPR-EQ,UNITDSPR,,-1,1,,NSE,10,UNITDSPR
10512,CONS-EQ,CONS,,-1,1,,NSE,1,CONS
10768,OAL-EQ,OAL,,-1,1,,NSE,5,OAL
10793,SYRMA-EQ,SYRMA,,-1,1,,NSE,5,SYRMA
10830,MOQLTYINAV-EQ,MOQLTYINAV,,-1,1,,NSE,1,MOQLTYINAV
10939,JUNIORBEES-EQ,JUNIORBEES,,-1,1,,NSE,1,JUNIORBEES
10990,RADICO-EQ,RADICO,,-1,1,,NSE,10,RADICO
11060,KSOLVES-EQ,KSOLVES,,-1,1,,NSE,5,KSOLVES
1110,DANGEE-EQ,DANGEE,,-1,1,,NSE,1,DANGEE
11184,IDFCFIRSTB-EQ,IDFCFIRSTB,,-1,1,,NSE,1,IDFCFIRSTB
1127,GHCL-EQ,GHCL,,-1,1,,NSE,5,GHCL
11253,WELSPUNLIV-EQ,WELSPUNLIV,,-1,1,,NSE,1,WELSPUNLIV
